column,levels,label_measurable,v_label,v_label_lo,v_label_hi,v_window,v_window_lo,v_window_hi,p_label,p_window,knows_period_better,p_label_bh,p_window_bh
M9,2,TRUE,0.0351246286500798,0.0304425987210313,0.0395331290104852,0.465116364403027,0.461254823022646,0.469006055408013,4.68422124576284e-28,0,TRUE,5.18610209352314e-28,0
M8,2,TRUE,0.0354780640479187,0.031163002960559,0.0398117934806011,0.465030755629974,0.461374724165529,0.468873060209168,1.33863003967935e-28,0,TRUE,1.59605889346384e-28,0
M7,2,TRUE,0.035393146568643,0.0311157075456,0.0400197666693167,0.464903019176801,0.461241329568378,0.468480583393183,1.81073622994463e-28,0,TRUE,2.07899344919568e-28,0
id_31,50,TRUE,0.123140179802441,0.114004107273612,0.141071326125772,0.459198169645903,0.456880527157711,0.462164004346992,6.87632900772723e-296,0,TRUE,4.26332398479088e-295,0
M2,2,TRUE,0.0413152551017011,0.036224139651177,0.0464158015518836,0.40420732591863,0.400469409132098,0.40802351585878,2.26369761883527e-38,0,TRUE,2.92394275766223e-38,0
M1,1,TRUE,0.0368601230646229,0.0317575183205155,0.0421720621334145,0.403818096560441,0.400005831701043,0.407755133816187,1.27198229841386e-31,0,TRUE,1.57725805003319e-31,0
M3,2,TRUE,0.0427908045017998,0.0372915989542415,0.0475466649022974,0.40381128399338,0.399917531488374,0.408134277266158,4.46094449393841e-41,0,TRUE,6.01257736139525e-41,0
id_38,2,TRUE,0.0675270734226834,0.0609528377967953,0.0750049786208744,0.31606809667099,0.312401635511426,0.319573366826533,1.45027842586182e-100,0,TRUE,4.49586312017163e-100,0
id_30,50,TRUE,0.0671764637824714,0.0623355222034539,0.0789014301309419,0.314647396367301,0.311025034947698,0.318201171509773,8.71772036245409e-76,0,TRUE,1.80166220824051e-75,0
ProductCD,5,TRUE,0.141504354318962,0.132388237176502,0.151484287925481,0.290440461586292,0.286636107218547,0.293895803841042,0,0,TRUE,0,0
DeviceInfo,50,TRUE,0.160977767369759,0.145864974077589,0.18388468182098,0.254001697412727,0.250428262258612,0.258313198724881,0,0,TRUE,0,0
id_35,2,TRUE,0.131828199587275,0.121381242494124,0.141363792465844,0.251860107629899,0.247881076969791,0.255885679075055,0,0,TRUE,0,0
id_34,4,TRUE,0.0443436287393863,0.0400292306532572,0.0492272875827395,0.249230471674199,0.245480742602324,0.253028893570992,1.87444137155735e-42,0,TRUE,2.76703250087038e-42,0
id_33,50,TRUE,0.0787671750797059,0.0702487036823034,0.0956818747568601,0.243500268601767,0.240396888816752,0.247635778758672,1.38814126010691e-109,0,TRUE,4.78137545147937e-109,0
id_12,2,TRUE,0.0457611739342586,0.0392961640692572,0.0521456557677071,0.232910242518954,0.22832323017442,0.237163385649122,8.23047560936205e-47,0,TRUE,1.27572371945112e-46,0
DeviceType,2,TRUE,0.0662656290700586,0.0580214334593093,0.0733795689149844,0.226186690912278,0.221914479410083,0.230086302477729,6.92818352115035e-97,0,TRUE,1.95248808323328e-96,0
id_15,3,TRUE,0.074302234470261,0.0672216218807068,0.0824498841981001,0.226076907528978,0.222078305455333,0.230068528747318,1.87249238251613e-120,0,TRUE,8.29246626542858e-120,0
M6,2,TRUE,0.0533092038091133,0.0482984616992611,0.0587911215022341,0.225646102169849,0.221084396449191,0.229898744852063,4.11115722420554e-63,0,TRUE,7.96536712189823e-63,0
id_16,2,TRUE,0.0642810869436143,0.0569385053588577,0.0722609857455636,0.224524660183859,0.220174913092319,0.228496701148461,3.07870552100861e-91,0,TRUE,7.95332259593891e-91,0
id_36,2,TRUE,0.0519367006286434,0.0460385397592395,0.058810390164622,0.223748375724811,0.219825840629208,0.228192282824043,5.79332412701961e-60,0,TRUE,1.05642969375064e-59,0
id_29,2,TRUE,0.0635923311678729,0.055300069054843,0.0711227517112273,0.221549170387454,0.217681959735224,0.225747828936109,2.56058354886347e-89,0,TRUE,6.1060069242129e-89,0
id_28,2,TRUE,0.0607797538538526,0.0534201438122024,0.0676487867481073,0.221056639068703,0.21689789893768,0.224946722209528,1.08138948084046e-81,0,TRUE,2.39450527900387e-81,0
id_37,2,TRUE,0.0478421720666701,0.0422206593485688,0.0541547702371824,0.220752450099063,0.216907131391114,0.224726302647011,4.66778023849092e-51,0,TRUE,7.61585196806414e-51,0
R_emaildomain,50,TRUE,0.121377875971261,0.114058274787803,0.130858767181991,0.17713650748647,0.173687417853782,0.181694073342905,8.60738784986294e-287,0,TRUE,4.44715038909585e-286,0
card6,4,TRUE,0.0517052422359463,0.0436808724575519,0.0645371132166833,0.141866108600233,0.13768529463896,0.146207879072335,9.74791875319812e-58,0,TRUE,1.67880822971745e-57,0
M5,2,TRUE,0.0433176276046353,0.0362833581217001,0.0504987714756641,0.125868070747411,0.121656645051857,0.130200567318853,4.57625689877042e-42,0,TRUE,6.44836199372196e-42,0
M4,3,TRUE,0.141018590655564,0.132102100773601,0.149948816681637,0.125407245601579,0.120794069578618,0.129404448870537,0,0,FALSE,0,0
card4,4,TRUE,0.0235421518223701,0.0155115795449421,0.0382870785600617,0.106896892426348,0.103433441235617,0.110439788005934,3.45273771588868e-12,0,TRUE,3.69085755836376e-12,0
P_emaildomain,50,TRUE,0.0805490236324874,0.0756558139401335,0.0890878962229667,0.0856564341798365,0.0827840096288981,0.0914597131906729,2.47391640896666e-115,1.46921013683345e-285,FALSE,9.58642608474582e-115,1.57053497385645e-285
id_23,3,TRUE,0.013888265645914,0.00573352604055464,0.0231271841975656,0.04286400593896,0.0391864489054454,0.0467597691500151,5.47930424176787e-05,2.69251287568602e-80,TRUE,5.66194771649347e-05,2.78226330487555e-80
id_27,2,TRUE,0.00337543591542938,0,0.0114510438299913,0.0402346569816821,0.0361895449663074,0.0442665425804704,0.207646994180392,9.66758993978732e-72,TRUE,0.207646994180392,9.66758993978732e-72
