block,columns,components,compression,variance_first_component,note
V143-V166,11,1,11,0.935402074600489,""
V167-V183,11,1,11,0.752177416211205,""
V186-V216,20,2,10,0.787053602584954,""
V138-V163,17,3,5.66666666666667,0.452057007522438,""
V107-V123,16,3,5.33333333333333,0.55312793212089,""
V217-V237,16,3,5.33333333333333,0.618988347840085,""
V322-V339,18,4,4.5,0.497602932126125,""
V53-V74,22,5,4.4,0.436041558839129,""
V263-V278,13,3,4.33333333333333,0.634769948675905,""
V240-V262,17,4,4.25,0.692455166841896,""
V220-V272,16,4,4,0.428989248327063,""
V302-V321,16,4,4,0.356021142972245,""
V12-V34,23,6,3.83333333333333,0.407806310067004,""
V169-V210,19,5,3.8,0.38724239842478,""
V279-V299,15,4,3.75,0.506808465464452,""
V1-V11,11,3,3.66666666666667,0.335208834456588,""
V281-V315,11,3,3.66666666666667,0.383774638240978,""
V35-V52,18,5,3.6,0.379887024242414,""
V124-V137,14,4,3.5,0.448290422023972,""
V75-V94,20,6,3.33333333333333,0.385971009816423,""
V95-V106,12,4,3,0.445375443698739,""
