column,psi,psi_null_q99,p_perm,null_share_ref,null_share_cur,null_share_delta,psi_excl_null,top_bucket,note,p_perm_bh,psi_over_null
M1,,,,0.68600087656387,0.282380245634656,-0.403620630929214,,,constant,,
V107,,,,0,0.000747064038329366,0.000747064038329366,,,constant,,
client_m1_mean_prior,,,,0.803181528408638,0.441694142021854,-0.361487386386784,,,constant,,
D3n,2.78925655784699,0.000445995390458184,0.00497512437810945,0.566061040720376,0.380863207594155,-0.185197833126221,5.23102320220284,"[17, Inf)","",0.00497512437810945,6254.00310747945
D1n,2.6918732511286,0.000397249465929513,0.00497512437810945,0,0.000408395007620053,0.000408395007620053,2.68987981607939,"[20, Inf)","",0.00497512437810945,6776.27909412027
D10n,2.09999610180478,0.000420046152591515,0.00497512437810945,0.309417085026695,0.0814797844471228,-0.227937300579573,2.18185321255905,"[19, Inf)","",0.00497512437810945,4999.4413443586
D5n,2.04569875080582,0.000437823904264461,0.00497512437810945,0.653189497171089,0.471985098562649,-0.181204398608441,4.52364906216111,"[18, Inf)","",0.00497512437810945,4672.42361798992
D15n,1.77674040924948,0.000500190205099949,0.00497512437810945,0.340475336680214,0.094966780552429,-0.245508556127785,1.79470845659418,"[19, Inf)","",0.00497512437810945,3552.12955218594
D11n,1.67806072445285,0.000407578127473421,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,1.86424467451807,"[18, Inf)","",0.00497512437810945,4117.15107200467
id_31,1.38277774928519,0.000770579816209974,0.00497512437810945,0.596920073312615,0.801808891058142,0.204888817745527,3.69830752427249,chrome 63.0,"",0.00497512437810945,1794.46401293801
client_m9_mean_prior,1.04028346772258,0.000395375941561721,0.00497512437810945,0.887102557972747,0.469186098632375,-0.417916459340372,0.327722012598304,               1,"",0.00497512437810945,2631.12485704997
M9,0.960409579421479,0.000157752955510486,0.00497512437810945,0.840007171886206,0.38724811490841,-0.452759056977796,0.00469978485532653,               1,"",0.00497512437810945,6088.06076763258
M8,0.959567728202421,0.000216765284469542,0.00497512437810945,0.840007171886206,0.38724811490841,-0.452759056977796,0.00258789184436143,               0,"",0.00497512437810945,4426.75925045207
M7,0.958626847284562,0.000202638787140479,0.00497512437810945,0.840007171886206,0.387287958323788,-0.452719213562419,0.000563495614044693,               0,"",0.00497512437810945,4730.71745450191
V152,0.953468814782142,0.000192942879599592,0.00497512437810945,0.683341302095785,0.893628041795743,0.210286739699958,2.76800304054688,"[65, Inf)","",0.00497512437810945,4941.71547952868
client_m7_mean_prior,0.949328221345847,0.000454802506583515,0.00497512437810945,0.887102557972747,0.469245863755441,-0.417856694217306,0.0990334993335058,               0,"",0.00497512437810945,2087.3416650168
client_m8_mean_prior,0.914947772220723,0.000212045718344786,0.00497512437810945,0.887102557972747,0.469186098632375,-0.417916459340372,0.00571731866679154,"[-Inf, 0.25)","",0.00497512437810945,4314.86086756546
client_d3n_std_prior,0.911629884347768,0.000381905771176546,0.00497512437810945,0.896346322416129,0.604952536531432,-0.291393785884697,1.54256696603201,"[21.8774982, Inf)","",0.00497512437810945,2387.05448608249
V151,0.898956490409386,0.000258998195611808,0.00497512437810945,0.683341302095785,0.893628041795743,0.210286739699958,2.58994191665584,"[50, 53)","",0.00497512437810945,3470.89866122759
device_txn_count_24h,0.889810204348668,0.000401561250548579,0.00497512437810945,0.634970914017053,0.833205502375664,0.19823458835861,2.39463134350641,"[1157, Inf)","",0.00497512437810945,2215.87666422765
V145,0.886208983470062,0.000263197840330479,0.00497512437810945,0.683341302095785,0.893628041795743,0.210286739699958,2.56811982252828,"[142, 236)","",0.00497512437810945,3367.08303668948
V150,0.840717113147019,0.000279079358192863,0.00497512437810945,0.683341302095785,0.893628041795743,0.210286739699958,2.34923337173866,"[2100, 3012)","",0.00497512437810945,3012.46612644862
V159,0.840223259145894,0.000239541910774854,0.00497512437810945,0.683341302095785,0.893628041795743,0.210286739699958,2.34719077740596,"[22290.37, 27539.29)","",0.00497512437810945,3507.62526869723
V160,0.840223259145894,0.000167267117094007,0.00497512437810945,0.683341302095785,0.893628041795743,0.210286739699958,2.34719077740596,"[293460.7, 493679.5)","",0.00497512437810945,5023.24230693637
D11,0.828198121336,0.000341096561625173,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0827773481264265,__null__,"",0.00497512437810945,2428.04593922028
client_d11n_std_prior,0.816726239035501,0.000335169597184167,0.00497512437810945,0.924655351023986,0.566384110445947,-0.358271240578039,0.0546145140275734,"[-Inf, 0.5000000)","",0.00497512437810945,2436.75514097041
V2,0.801016265971553,0.000394685954643759,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0293792340253829,__null__,"",0.00497512437810945,2029.50284028867
V3,0.799893423877493,0.000365550589314683,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0276718520553443,__null__,"",0.00497512437810945,2188.18802994435
V8,0.796849510699302,0.000448481132030916,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0213184496127029,__null__,"",0.00497512437810945,1776.77376769637
V6,0.796821884728354,0.000445483829157785,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0216423517249336,__null__,"",0.00497512437810945,1788.66623786277
V7,0.795666525222712,0.000389559689677869,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0196903373928504,__null__,"",0.00497512437810945,2042.4765351894
V9,0.795252686444922,0.000438145739888816,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0187772352763254,__null__,"",0.00497512437810945,1815.0414669026
V4,0.795043003942128,0.000319373351343683,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0183621995735356,__null__,"",0.00497512437810945,2489.38429144819
null_count_V_block,0.794283153461078,0.00042727965819374,0.00497512437810945,0,0,0,0.794283153461078,"[159, 170)","",0.00497512437810945,1858.93041765384
V5,0.791535718220498,0.000370320091560055,0.00497512437810945,0.712447206948761,0.283854452003626,-0.428592754945135,0.0118949400620389,__null__,"",0.00497512437810945,2137.43660217295
D2n,0.791228796076936,0.000390220957162479,0.00497512437810945,0.576470236672245,0.418176566095246,-0.158293670576999,1.34918726888218,"[8, Inf)","",0.00497512437810945,2027.64300982299
