family,size,null_count,null_share,mcar_statistic,mcar_p,mcar_df,patterns,indicator_auc,indicator_auc_lo,indicator_auc_hi,example,note,mcar_p_bh,absence_is_signal
60585,50,60585,0.603484341381783,415.357079649077,0,6,2,0.438415405406086,0.428634743229725,0.448196067582446,V167,"",0,TRUE
61782,46,61782,0.615407602199378,278.483391445198,0,11,3,0.450260028327644,0.44048194262624,0.460038114029049,V217,"",0,TRUE
11,32,11,0.000109570483703881,9.22969185764981e-26,0,0,1,0.500342951322384,0.499803166496676,0.500882736148091,V279,"",0,FALSE
68602,29,68602,0.683341302095785,303.659465593667,0,6,2,0.559902319380611,0.552034209188707,0.567770429572513,V138,"",0,TRUE
31070,23,31070,0.309486811698143,332.649205077745,0,14,3,0.485691401162247,0.476876766346808,0.494506035977686,V12,"",0,TRUE
30383,22,30383,0.302643636943183,285.301258722872,0,14,3,0.473235858361873,0.46473682377328,0.481734892950466,V53,"",0,TRUE
34186,20,34186,0.340525141445534,229.736606387562,0,6,2,0.469165586030933,0.460355611328037,0.477975560733828,V75,"",0,TRUE
46352,18,46352,0.461710096422026,322.590772184489,0,6,2,0.452486692020289,0.443028300292213,0.461945083748365,V35,"",0,TRUE
68472,18,68472,0.682046378197466,332.351298040796,0,6,2,0.559968033675493,0.552083053167112,0.567853014183873,V322,"",0,TRUE
61957,17,61957,0.617150768985577,229.435374165308,0,6,2,0.477507478385765,0.467826105797896,0.487188850973633,client_amt_avg_prior,"",0,TRUE
59699,16,59699,0.594658936967089,350.135657170218,0,6,2,0.446935850025021,0.437150483603662,0.45672121644638,V220,"",0,TRUE
71524,13,71524,0.712447206948761,240.034839735988,0,6,2,0.551752876032219,0.54408717765558,0.559418574408858,D11,"",0,TRUE
59767,8,59767,0.59533628177544,466.612465861658,0,6,2,0.42583110004334,0.416090772809367,0.435571427277313,id_11,"",0,TRUE
4,5,4,3.98438122559567e-05,,,,,0.500378730960703,0.499839597218912,0.500917864702493,card6,test not estimable,,FALSE
7,5,7,6.97266714479241e-05,1.98684944186306,0.920904072970609,6,2,0.500363396829994,0.499823983944598,0.500902809715391,card4,"",0.920904072970609,FALSE
9116,4,9116,0.0908040481313252,2699.45033105663,0,6,2,0.606488863753082,0.59760130166832,0.615376425837843,addr1,"",0,TRUE
57887,4,57887,0.576609690015141,635.870297995968,0,6,2,0.336444724478713,0.327848361006287,0.34504108795114,M4,"",0,TRUE
78569,4,78569,0.782622121284565,168.553771721458,0,6,2,0.417745402781689,0.40828624250354,0.427204563059837,D8,"",0,TRUE
20425,3,20425,0.203452466331979,80.2675313074401,3.10862446895044e-15,6,2,0.463460126375424,0.456790482844689,0.470129769906159,card_txn_amt_avg_24h,"",3.66373598126302e-15,TRUE
59885,3,59885,0.596511674236991,,,,,0.42522795756882,0.415487751603778,0.434968163533863,DeviceType,test not estimable,,FALSE
68869,3,68869,0.68600087656387,,,,,0.554346228830296,0.546364778700773,0.562327678959819,M1,no numeric columns in the family,,FALSE
80633,3,80633,0.803181528408638,128.95071447007,0,6,2,0.481442343960787,0.47317649840301,0.489708189518563,client_m1_mean_prior,"",0,TRUE
84330,3,84330,0.840007171886206,,,,,0.540983759575049,0.535610163681986,0.546357355468113,M7,no numeric columns in the family,,FALSE
89058,3,89058,0.887102557972747,81.1642940948604,1.99840144432528e-15,6,2,0.505839816700418,0.499917858020398,0.511761775380438,client_m7_mean_prior,"",2.44249065417534e-15,FALSE
98758,3,98758,0.983723802693442,7.85880987646713,0.248630867235247,6,2,0.497773813448723,0.494998815934577,0.50054881096287,id_22,"",0.264671568347199,FALSE
98759,3,98759,0.983733763646506,2.61412616868689,0.855482854911762,6,2,0.497768702071821,0.494993722056931,0.50054368208671,id_07,"",0.882216694127755,FALSE
15439,2,15439,0.153787154354929,266.058403298632,0,6,2,0.492737628061314,0.485942545157566,0.499532710965061,P_emaildomain,"",0,TRUE
31063,2,31063,0.309417085026695,327.062276629978,0,13,3,0.485527592566409,0.476716575843446,0.494338609289373,D10,"",0,TRUE
34181,2,34181,0.340475336680214,215.54818794079,0,6,2,0.469191142915446,0.460381177207778,0.478001108623114,D15,"",0,TRUE
56828,2,56828,0.566061040720376,64.7080321551804,4.94859708766171e-12,6,2,0.491748436470363,0.482006864008899,0.501490008931826,D3,"",5.63116220320126e-12,FALSE
57873,2,57873,0.576470236672245,83.7929447891877,5.55111512312578e-16,6,2,0.521933753286923,0.512420153871184,0.531447352702661,D2,"",7.04564611781349e-16,TRUE
58718,2,58718,0.584887242011316,436.241551451995,0,6,2,0.429795816775186,0.420059764895061,0.439531868655311,id_01,"",0,TRUE
61108,2,61108,0.60869391983425,520.573011008271,0,6,2,0.425762743578134,0.416002254066621,0.435523233089646,id_05,"",0,TRUE
63746,2,63746,0.634970914017053,217.545628196954,0,6,2,0.474350872131517,0.464707544519691,0.483994199743344,DeviceInfo,"",0,TRUE
65575,2,65575,0.653189497171089,34.0687896557824,6.52473283413446e-06,6,2,0.437458987462836,0.42769842209383,0.447219552831842,D5,"",7.17720611754791e-06,TRUE
65629,2,65629,0.653727388636545,895.660318578813,0,6,2,0.391078091019893,0.381364931176991,0.400791250862794,R_emaildomain,"",0,TRUE
81727,2,81727,0.814078811060642,125.203123780615,0,6,2,0.420764145001973,0.411525361074496,0.430002928929451,id_03,"",0,TRUE
