block,n_members,mean_rho2_within,mean_rho2_between,ratio,holds
V302-V321,16,0.163640389018848,0.0381085833685156,4.29405594630535,TRUE
V75-V94,20,0.177810453766902,0.0352681033866614,5.04167893060422,TRUE
V263-V278,13,0.273754832050612,0.0526858386896865,5.19598508553687,TRUE
V279-V299,15,0.179195630646812,0.0318013345164275,5.63484625320505,TRUE
V217-V237,16,0.284299875963772,0.0500535603111201,5.67991316095472,TRUE
V35-V52,18,0.195511254281743,0.0332527542145675,5.87955069887391,TRUE
V167-V183,11,0.312380246412625,0.0531039016947442,5.88243493309159,TRUE
V12-V34,23,0.186370046140242,0.0303472132052428,6.14125734972084,TRUE
V53-V74,22,0.221417966480928,0.0358749317838723,6.17194111517355,TRUE
V124-V137,14,0.193222998383496,0.0310093112162853,6.23112835482847,TRUE
V95-V106,12,0.230045500687949,0.0340918938006003,6.74780644435478,TRUE
V186-V216,20,0.259600975058242,0.0383398380226068,6.77105038641974,TRUE
V169-V210,19,0.286791432937929,0.0301079718379492,9.52543181857391,TRUE
V322-V339,18,0.398849410929383,0.0371258839443617,10.7431626820553,TRUE
V281-V315,11,0.288553758440143,0.0247284825212916,11.6688825604925,TRUE
V220-V272,16,0.31140779871983,0.0260692147905963,11.9454230294716,TRUE
V240-V262,17,0.210058124030296,0.01387518339856,15.1391241467911,TRUE
V138-V163,17,0.370040144821043,0.0197401640299004,18.7455455922527,TRUE
V107-V123,16,0.244395078479084,0.0046955081164782,52.0486968431416,TRUE
V143-V166,11,0.833033638169318,0.0156886200783205,53.0979546965036,TRUE
V1-V11,11,0.128291854833203,0.00235487307670129,54.4793076546252,TRUE
