column,group,size,representative,is_representative,null_rate,iv,predictable,redun_r2,redun_note
ProductCD_is_C,16,11,ProductCD_is_C,TRUE,0,0.4739,TRUE,,linear
C12,16,11,ProductCD_is_C,FALSE,0,0.4643,FALSE,,linear
C7,16,11,ProductCD_is_C,FALSE,0,0.4654,TRUE,,linear
V51,16,11,ProductCD_is_C,FALSE,0.461710096422026,0.4411,TRUE,,linear
V52,16,11,ProductCD_is_C,FALSE,0.461710096422026,0.496,TRUE,,linear
V57,16,11,ProductCD_is_C,FALSE,0.302643636943183,0.3022,TRUE,,linear
V58,16,11,ProductCD_is_C,FALSE,0.302643636943183,0.3297,TRUE,,linear
V73,16,11,ProductCD_is_C,FALSE,0.302643636943183,0.305,TRUE,,linear
V74,16,11,ProductCD_is_C,FALSE,0.302643636943183,0.3365,FALSE,,linear
V79,16,11,ProductCD_is_C,FALSE,0.340525141445534,0.433,FALSE,,linear
V94,16,11,ProductCD_is_C,FALSE,0.340525141445534,0.4111,TRUE,,linear
V149,116,10,V149,TRUE,0.683341302095785,0.5963,TRUE,,linear
V139,116,10,V149,FALSE,0.683341302095785,0.269,FALSE,,linear
V140,116,10,V149,FALSE,0.683341302095785,0.3084,TRUE,,linear
V148,116,10,V149,FALSE,0.683341302095785,0.5278,TRUE,,linear
V153,116,10,V149,FALSE,0.683341302095785,0.4074,TRUE,,linear
V154,116,10,V149,FALSE,0.683341302095785,0.4198,FALSE,,linear
V155,116,10,V149,FALSE,0.683341302095785,0.5139,TRUE,,linear
V156,116,10,V149,FALSE,0.683341302095785,0.5917,TRUE,,linear
V157,116,10,V149,FALSE,0.683341302095785,0.3746,FALSE,,linear
V158,116,10,V149,FALSE,0.683341302095785,0.4398,TRUE,,linear
V165,118,8,V165,TRUE,0.683341302095785,0.1937,TRUE,,spline
V143,118,8,V165,FALSE,0.683341302095785,0.1861,TRUE,,spline
V150,118,8,V165,FALSE,0.683341302095785,0.1367,TRUE,,spline
V151,118,8,V165,FALSE,0.683341302095785,0.1383,TRUE,,spline
V152,118,8,V165,FALSE,0.683341302095785,0.1308,TRUE,,spline
V159,118,8,V165,FALSE,0.683341302095785,0.1403,TRUE,,spline
V160,118,8,V165,FALSE,0.683341302095785,0.1479,FALSE,,spline
V164,118,8,V165,FALSE,0.683341302095785,0.1569,FALSE,,spline
V81,67,8,V81,TRUE,0.340525141445534,0.2863,FALSE,,linear
V39,67,8,V81,FALSE,0.461710096422026,0.2782,TRUE,,linear
V40,67,8,V81,FALSE,0.461710096422026,0.287,FALSE,,linear
