column,pooled_auc,dominant_segment,dominant_auc,measurable_in_dominant,segments_measurable,segments_total,min_segment_auc,max_segment_auc,gap_dominant,cmh_or,cmh_p,bd_p,strata_used,note,cmh_p_bh,bd_p_bh,segment_artefact,heterogeneous
dist2,0.540319302260622,W,,FALSE,3,5,0.533109835854658,0.735852435530085,,,,,0,fewer than two usable strata,,,FALSE,FALSE
R_emaildomain,0.670519002689769,W,,FALSE,4,5,0.58625656759348,0.756810004418318,,4.37472670272961,8.30819839996723e-55,0.000216761237151641,4,"",2.82694542959924e-54,0.000563107996513503,TRUE,TRUE
C3,0.50551508223784,W,,FALSE,1,5,0.717894241413827,0.717894241413827,,,,,1,fewer than two usable strata,,,FALSE,FALSE
C4,0.657155877365142,W,,FALSE,4,5,0.582619567004875,0.783419536837027,,6.32294292002481,2.9571913658587e-44,1.43407508090831e-12,3,"",9.44858704701194e-44,9.2633498469483e-12,TRUE,TRUE
C7,0.647970337441252,W,,FALSE,1,5,0.70086471716203,0.70086471716203,,,,,1,fewer than two usable strata,,,TRUE,FALSE
C8,0.63536292451968,W,,FALSE,4,5,0.63187613058407,0.718327220232184,,2.13052928041717,4.3139464282893e-09,0.11807212269635,4,"",7.84898586258192e-09,0.177479480027847,TRUE,FALSE
C10,0.629772106030145,W,,FALSE,4,5,0.609942799628307,0.701618832145682,,2.21271332097329,5.87838085970091e-14,0.0501312869405876,4,"",1.23210862819331e-13,0.0837858571944086,TRUE,FALSE
D6,0.562155134927714,W,,FALSE,1,5,0.587839414180323,0.587839414180323,,,,,0,fewer than two usable strata,,,TRUE,FALSE
D7,0.635324949691463,W,,FALSE,1,5,0.602894546476053,0.602894546476053,,3.52577922309753,1.88627315949161e-05,0.938957447053248,3,"",3.05063930732594e-05,0.959326439923104,TRUE,FALSE
D8,0.7045064100424,W,,FALSE,4,5,0.580841117335074,0.740265700483088,,4.97770699841192,1.01323450250259e-38,0.417968715206892,4,"",2.91722461160087e-38,0.537067327604554,TRUE,FALSE
D9,0.509383477059549,W,,FALSE,4,5,0.529029652453529,0.569102282100633,,1.66287761328318,0.00726294264798276,0.772579094904339,4,"",0.00991089048839314,0.852148331723729,FALSE,FALSE
D12,0.586934503675125,W,,FALSE,1,5,0.586934503675125,0.586934503675125,,,,,0,fewer than two usable strata,,,TRUE,FALSE
D13,0.539541546603003,W,,FALSE,1,5,0.549982926677842,0.549982926677842,,,,,0,fewer than two usable strata,,,FALSE,FALSE
D14,0.549791358398285,W,,FALSE,3,5,0.505437531613556,0.592599045729909,,,,,0,fewer than two usable strata,,,FALSE,FALSE
M1,,W,,FALSE,0,5,,,,,,,0,too few usable rows,,,FALSE,FALSE
V14,0.500077567881425,W,,FALSE,1,5,0.540783410138249,0.540783410138249,,0.375570597648812,0.336324373397897,0.582416018466386,3,"",0.364119776158054,0.695987142067331,FALSE,FALSE
V15,0.627469738034882,W,,FALSE,1,5,0.502680650315471,0.502680650315471,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V16,0.627976079692633,W,,FALSE,1,5,0.512257055340321,0.512257055340321,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V17,0.605740436460756,W,,FALSE,2,5,0.534331797235023,0.54607838690058,,1.22912126629758,0.0262423495291241,0.666528200950487,4,"",0.0333761921195656,0.770708509929798,TRUE,FALSE
V18,0.606819823179412,W,,FALSE,2,5,0.543663594470046,0.555599880747246,,1.22619767723,0.0287959847020685,0.667517412365975,4,"",0.0364470917485119,0.770708509929798,TRUE,FALSE
V21,0.601741658513962,W,,FALSE,2,5,0.519312619484038,0.531336405529954,,1.15858260909054,0.104678218921604,0.787859398662858,4,"",0.124662242533911,0.85246324512893,TRUE,FALSE
V22,0.602435352241992,W,,FALSE,2,5,0.505069124423963,0.522957721973962,,1.15521172321581,0.113324440868378,0.788260992357714,4,"",0.133743259042861,0.85246324512893,TRUE,FALSE
V27,0.500970729899963,W,,FALSE,1,5,0.650921658986175,0.650921658986175,,,,,1,fewer than two usable strata,,,FALSE,FALSE
V28,0.500978140051871,W,,FALSE,1,5,0.652073732718894,0.652073732718894,,,,,1,fewer than two usable strata,,,FALSE,FALSE
V31,0.615504340676017,W,,FALSE,2,5,0.502048798728448,0.526152073732719,,0.756820306914245,0.0166711731519477,0.195854121052793,4,"",0.0218392368290515,0.275347852538927,TRUE,FALSE
V32,0.616133746220953,W,,FALSE,2,5,0.511637364788685,0.531336405529954,,0.754389948148925,0.0154735547836905,0.201981716084202,4,"",0.0204751078450855,0.280660640372816,TRUE,FALSE
V33,0.627904598005277,W,,FALSE,1,5,0.515153843812316,0.515153843812316,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V34,0.628245713736644,W,,FALSE,1,5,0.521657684908916,0.521657684908916,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V39,0.655114230675083,W,,FALSE,2,5,0.551598874598823,0.869934445768772,,1.43491655648018,0.00123854704053049,0.570488006044145,3,"",0.0018333295176214,0.695987142067331,TRUE,FALSE
V40,0.662679714082459,W,,FALSE,2,5,0.590358964249267,0.874821215733016,,1.60086694854489,5.55248142785327e-05,0.604572294734354,3,"",8.81666747937913e-05,0.718869544485128,TRUE,FALSE
V42,0.64205236372009,W,,FALSE,2,5,0.520939327864881,0.876489868891538,,1.00314706714014,0.974176545979802,0.379700848336635,3,"",0.974176545979802,0.501372943383733,TRUE,FALSE
V43,0.648674802929821,W,,FALSE,2,5,0.54983771670123,0.878635280095352,,1.07080204513212,0.496574172255659,0.408293934066642,3,"",0.529380917438263,0.530338316532215,TRUE,FALSE
V50,0.664114660399175,W,,FALSE,2,5,0.504344606521172,0.766388557806913,,1.15088424336675,0.52732600127049,6.23982802694378e-06,3,"",0.554857077642041,1.96226170847311e-05,TRUE,TRUE
V51,0.68745462644749,W,,FALSE,1,5,0.555444728031946,0.555444728031946,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V57,0.635081170700364,W,,FALSE,1,5,0.501450355654943,0.501450355654943,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V58,0.638368546296632,W,,FALSE,1,5,0.525128867411357,0.525128867411357,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V59,0.613035008594218,W,,FALSE,1,5,0.515178063048467,0.515178063048467,,1.11576667434029,0.227904293475869,0.905582360932038,3,"",0.258488852340596,0.951379509020815,TRUE,FALSE
V60,0.618762465031369,W,,FALSE,1,5,0.537664187327456,0.537664187327456,,1.2738942655498,0.0108719666980759,0.927120130586591,3,"",0.014607462948184,0.959326439923104,TRUE,FALSE
V63,0.60843933397754,W,,FALSE,1,5,0.506809348682301,0.506809348682301,,0.984638810682648,0.859044694731298,0.875064522779853,3,"",0.868995019380695,0.929512981975043,TRUE,FALSE
V64,0.613839595608379,W,,FALSE,1,5,0.524526923143596,0.524526923143596,,1.1087057891672,0.254946598267901,0.900066405241473,3,"",0.286678149125279,0.951379509020815,TRUE,FALSE
V65,0.500235010722364,W,,FALSE,0,5,,,,Inf,0.822103053038475,,2,"",0.841371093344064,,FALSE,FALSE
V68,0.500646279486502,W,,FALSE,0,5,,,,,,,0,fewer than two usable strata,,,FALSE,FALSE
V71,0.624589419148346,W,,FALSE,1,5,0.501329400082585,0.501329400082585,,0.685109653821349,0.00190363432806135,0.774017150567149,3,"",0.00275553698316063,0.852148331723729,TRUE,FALSE
V72,0.628026702498789,W,,FALSE,1,5,0.525183594668487,0.525183594668487,,0.733024681482299,0.0141954862607689,0.759192101104979,3,"",0.0188792761437638,0.847882767121916,TRUE,FALSE
V73,0.635828133134184,W,,FALSE,1,5,0.509439201739894,0.509439201739894,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V74,0.639041343761309,W,,FALSE,1,5,0.534937214223709,0.534937214223709,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V79,0.6702473991799,W,,FALSE,1,5,0.524611567004836,0.524611567004836,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V80,0.634113050212249,W,,FALSE,1,5,0.54428788246021,0.54428788246021,,1.46229036432795,0.000592428008393634,0.964334970141274,4,"",0.000913036107053718,0.972322600076289,TRUE,FALSE
V81,0.636915745691617,W,,FALSE,1,5,0.556142388883118,0.556142388883118,,1.58712881380841,4.93547002347072e-05,0.968254304678481,4,"",7.88471430578859e-05,0.972322600076289,TRUE,FALSE
V84,0.627756999494367,W,,FALSE,1,5,0.515583024595178,0.515583024595178,,1.26014129200185,0.0249826723273192,0.929728018116779,4,"",0.0320855889694001,0.959326439923104,TRUE,FALSE
V85,0.63111120490246,W,,FALSE,1,5,0.529984187989797,0.529984187989797,,1.33510867301027,0.0064345998665183,0.936642728481986,4,"",0.00882651918862719,0.959326439923104,TRUE,FALSE
V89,0.501079930387221,W,,FALSE,0,5,,,,,,,1,fewer than two usable strata,,,FALSE,FALSE
V92,0.647685811860714,W,,FALSE,1,5,0.5085066883649,0.5085066883649,,0.412853850310518,0.00931802772394012,0.754920878044626,4,"",0.0126493433350897,0.847070844378711,TRUE,FALSE
V93,0.648970725340295,W,,FALSE,1,5,0.521096741802569,0.521096741802569,,0.369622488961862,0.00417967117633413,0.63430938471742,4,"",0.0057940415248653,0.743136975232664,TRUE,FALSE
V94,0.668463890890704,W,,FALSE,1,5,0.50010387451958,0.50010387451958,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V107,,W,,FALSE,0,5,,,,,,,0,too few usable rows,,,FALSE,FALSE
V138,0.527796453117543,W,,FALSE,3,5,0.501584551342634,0.560105976423553,,6.9662356412281,6.51249596852041e-34,0.000143392818688803,3,"",1.79607783552879e-33,0.000380787596295822,FALSE,TRUE
V139,0.711196580165147,W,,FALSE,3,5,0.643391539524356,0.783502462937024,,8.61046690649529,1.45929782316064e-175,0.000469670233064767,3,"",8.13480914187422e-175,0.00118159142844715,TRUE,TRUE
V140,0.732155671384132,W,,FALSE,3,5,0.651472058088603,0.806668468884768,,9.80524913236381,9.47370448540909e-212,1.70325567760976e-07,3,"",7.09174450050624e-211,7.01151634080372e-07,TRUE,TRUE
V141,0.556712908245554,W,,FALSE,3,5,0.509290850119968,0.580066584354881,,6.85391607790627,1.63448757750692e-59,6.21733895478371e-07,3,"",5.94771868481685e-59,2.35864128602112e-06,TRUE,TRUE
V142,0.556418491721503,W,,FALSE,3,5,0.508918364152585,0.57730693476791,,6.68049175351495,9.77713206114001e-58,4.61425599729282e-07,3,"",3.46163324326849e-57,1.80788062844751e-06,TRUE,TRUE
V143,0.511725808329804,W,,FALSE,3,5,0.609357086162801,0.656625742300084,,3.34122526292135,7.68975459943546e-40,7.01024237874659e-05,3,"",2.23857300561343e-39,0.000192580221669016,FALSE,TRUE
V144,0.505360800514361,W,,FALSE,3,5,0.568495164182615,0.643774745105767,,3.77560308744732,6.61873829337938e-50,0.522238924256819,3,"",2.16763679108175e-49,0.653482214122407,FALSE,FALSE
V145,0.518759427176044,W,,FALSE,3,5,0.602320163447688,0.634503840766211,,4.99316798305364,1.67720073327694e-82,0.97729477314491,3,"",6.657978668463e-82,0.97729477314491,FALSE,FALSE
V146,0.660925440772577,W,,FALSE,3,5,0.613744598289091,0.689647318800632,,11.2020755276323,8.45017994108308e-223,9.90117965393722e-09,3,"",6.51160924871697e-222,4.8293508924306e-08,TRUE,TRUE
V147,0.676889123968702,W,,FALSE,3,5,0.629703530587647,0.71295656073928,,12.2567997589035,7.79666029370197e-258,7.97339971825295e-12,3,"",8.17089998779967e-257,4.64790861624989e-11,TRUE,TRUE
V148,0.698740204570031,W,,FALSE,3,5,0.538278654790252,0.78052784745505,,114.357063254156,0,0.00664947514112235,3,"",0,0.0137002117131745,TRUE,TRUE
V149,0.717499569541021,W,,FALSE,3,5,0.545730811065056,0.800121872698562,,119.881306615826,0,9.94614291371931e-07,3,"",0,3.44511327011437e-06,TRUE,TRUE
V150,0.549358062496669,W,,FALSE,3,5,0.616441516819238,0.705877253985897,,,,,0,fewer than two usable strata,,,FALSE,FALSE
V151,0.512175053235086,W,,FALSE,3,5,0.53756210130229,0.650483901931021,,,,,0,fewer than two usable strata,,,FALSE,FALSE
V152,0.518876683704217,W,,FALSE,3,5,0.600104359584913,0.663988433121928,,,,,0,fewer than two usable strata,,,FALSE,FALSE
V153,0.678254089484708,W,,FALSE,3,5,0.536955786812476,0.765010685893347,,131.682804346456,0,1.68038552038619e-05,3,"",0,5.02015174215373e-05,TRUE,TRUE
V154,0.679735658375811,W,,FALSE,3,5,0.544892994679131,0.765717203523797,,120.468600041878,0,5.11231181866689e-05,3,"",0,0.000142074712169929,TRUE,TRUE
V155,0.711168774505681,W,,FALSE,3,5,0.582550636446483,0.784333210448391,,105.090791276163,0,8.04465457235892e-05,3,"",0,0.000216030611549863,TRUE,TRUE
V156,0.727960904620741,W,,FALSE,3,5,0.590215921451039,0.803089161802943,,104.30264073044,0,2.13942950022528e-08,3,"",0,9.64761604818568e-08,TRUE,TRUE
V157,0.711098451691306,W,,FALSE,3,5,0.589466296263633,0.784655040165538,,20.516470689154,0,0.00435740612545132,3,"",0,0.00921610676091032,TRUE,TRUE
V158,0.727986999641201,W,,FALSE,3,5,0.595173001734427,0.803454737426874,,21.9642505347581,0,5.92590490067213e-06,3,"",0,1.88838836168085e-05,TRUE,TRUE
V159,0.591485875969105,W,,FALSE,3,5,0.501017873416233,0.705260678885507,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V160,0.555283560497887,W,,FALSE,3,5,0.505879037163401,0.671918546820427,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V161,0.556861578326366,W,,FALSE,3,5,0.509426074413979,0.581007290472411,,9.00576976752947,3.46603592182947e-81,4.17682230213767e-06,3,"",1.35537524107362e-80,1.34900071650122e-05,TRUE,TRUE
V162,0.556485175540176,W,,FALSE,3,5,0.508948083777642,0.578078607754947,,8.05262193136969,1.38092256246598e-71,5.80946603156995e-07,3,"",5.16859587665838e-71,2.23945545410519e-06,TRUE,TRUE
V163,0.556627811730679,W,,FALSE,3,5,0.509059532371606,0.579853455625129,,8.63206193939404,1.79486454324295e-77,1.79313470660691e-06,3,"",6.91550750484784e-77,6.03604499829651e-06,TRUE,TRUE
V164,0.51027260494366,W,,FALSE,3,5,0.609180703765765,0.651545058708705,,2.60556806007732,2.62902733323082e-21,2.59883992104193e-09,3,"",6.26186510278613e-21,1.29400571068546e-08,FALSE,TRUE
V165,0.505125074459452,W,,FALSE,3,5,0.638250727577388,0.647429153367135,,3.5036022175435,4.37698307758294e-41,9.17022254132149e-07,3,"",1.30314723446219e-40,3.22306351084682e-06,FALSE,TRUE
V166,0.504749107108644,W,,FALSE,3,5,0.567635299997061,0.640916820768348,,3.21770276697258,9.5946508687986e-33,0.00391483306121743,3,"",2.61854013294295e-32,0.00835397412170505,FALSE,TRUE
V167,0.6707580406086,W,,FALSE,4,5,0.640151247660407,0.69236952809272,,3.93401454291933,4.71753355950732e-144,6.54329441629464e-07,4,"",2.28887739368688e-143,2.44351150858503e-06,TRUE,TRUE
V168,0.691625196437927,W,,FALSE,4,5,0.660120614950801,0.71829989785102,,4.24630334236455,3.41964928990264e-162,1.32744163439114e-08,4,"",1.72297714222018e-161,6.10112597345156e-08,TRUE,TRUE
V169,0.52737132944053,W,,FALSE,4,5,0.507235162310069,0.536792646957953,,,,,0,fewer than two usable strata,,,FALSE,FALSE
V170,0.675469233805202,W,,FALSE,4,5,0.598274915975033,0.7106079789995,,4.04987597730879,1.86617822211387e-150,1.68457636728903e-09,4,"",9.22525838101573e-150,8.56625003791653e-09,TRUE,TRUE
V171,0.683411104852373,W,,FALSE,4,5,0.626085465395432,0.721420715498022,,3.89435366726924,1.49973945351588e-141,1.23667742712996e-12,4,"",7.14421339674838e-141,8.2101640301128e-12,TRUE,TRUE
V172,0.5064116102133,W,,FALSE,4,5,0.504304136086151,0.53060392523617,,17.6075173000547,4.33358320818416e-05,0.113367289084728,4,"",6.9656368131549e-05,0.171485962602848,FALSE,FALSE
V173,0.503724179704342,W,,FALSE,4,5,0.505245941857137,0.539435200013755,,Inf,0.00105043425561901,,4,"",0.00158168836190908,,FALSE,FALSE
V174,0.51964217808368,W,,FALSE,4,5,0.506748579138897,0.551156878775333,,2.33100806941288,0.0228591709471023,0.0672814389671113,4,"",0.0295029693997085,0.107269104272513,FALSE,FALSE
V175,0.525886675160321,W,,FALSE,4,5,0.506297787954369,0.551030724347433,,3.00054872254884,0.00254920555077883,0.322956817739296,4,"",0.00361022623948137,0.433633030560067,FALSE,FALSE
V176,0.647761368898761,W,,FALSE,4,5,0.592681253858289,0.690675471235229,,4.02620496682693,2.24755358013964e-138,0,4,"",1.05153399642248e-137,0,TRUE,TRUE
V177,0.649021150873407,W,,FALSE,4,5,0.61101371795396,0.657138477532534,,5.44249294255916,1.51703181544655e-197,0.160071261538896,4,"",1.01913419396666e-196,0.231860797016947,TRUE,FALSE
V178,0.669015911354559,W,,FALSE,4,5,0.622349429611154,0.677396072307564,,5.88419284115548,1.80729573915443e-230,0.00965446403706138,4,"",1.52745639889826e-229,0.0189132533185055,TRUE,TRUE
V179,0.66386369172733,W,,FALSE,4,5,0.620503332379278,0.675118653008189,,5.96630323126281,3.2854817756851e-230,0.0990998682848622,4,"",2.68998820384217e-229,0.151826080256936,TRUE,FALSE
V180,0.565394073891658,W,,FALSE,4,5,0.524381819208984,0.661320767929247,,Inf,0.0541346404475888,,3,"",0.0665881492829496,,TRUE,FALSE
V181,0.543390687675988,W,,FALSE,4,5,0.505318890897569,0.62803569349704,,,,,0,fewer than two usable strata,,,FALSE,FALSE
V182,0.564939945728495,W,,FALSE,4,5,0.525490286081322,0.661355671019013,,3.3226273681487,0.204114745344354,0.85525098110897,3,"",0.232513318609655,0.912522252165374,TRUE,FALSE
V183,0.560926109124771,W,,FALSE,4,5,0.526481926793443,0.651097992120436,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V184,0.567386241736613,W,,FALSE,4,5,0.527829035276895,0.656246252567948,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V185,0.567754068719067,W,,FALSE,4,5,0.527561609296476,0.658347549868747,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V186,0.62644613185975,W,,FALSE,4,5,0.523208038960148,0.660054636709326,,11.0643692740301,0,0,4,"",0,0,TRUE,TRUE
V187,0.658880503040777,W,,FALSE,4,5,0.587379106934632,0.66664298564828,,11.4487047876413,0,0,4,"",0,0,TRUE,TRUE
V188,0.642795939468782,W,,FALSE,4,5,0.530705123808217,0.646430538634611,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V189,0.653803126693734,W,,FALSE,4,5,0.533459084985253,0.659970270007677,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V190,0.653394262619229,W,,FALSE,4,5,0.577464160779203,0.673620538087255,,8.58353092105326,1.1125369292536e-308,0,4,"",1.11253692925361e-308,0,TRUE,TRUE
V191,0.553094580301507,W,,FALSE,4,5,0.525857574633648,0.614270965367788,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V192,0.574283897851339,W,,FALSE,4,5,0.544023658755852,0.635286783042394,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V193,0.566895117568431,W,,FALSE,4,5,0.536653171530893,0.62885531432913,,,,,1,fewer than two usable strata,,,TRUE,FALSE
V194,0.555152041545428,W,,FALSE,4,5,0.528769401432495,0.623889884800109,,,,,0,fewer than two usable strata,,,TRUE,FALSE
V195,0.56520354593352,W,,FALSE,4,5,0.533942657246725,0.630227585651526,,,,,0,fewer than two usable strata,,,TRUE,FALSE
