feature,verdict,auc_train,auc_holdout,delta,auc_train_lo,auc_train_hi,auc_holdout_lo,auc_holdout_hi,dxy_train,dxy_holdout,iv_train,iv_holdout,woe_rho,woe_flip_mass,p_delong,unstable,n_train,n_holdout,null_rate_train,null_rate_holdout,note,p_delong_bh
M1,degenerate,,,,,,,,,,,,,,,FALSE,100392,100393,0.68600087656387,0.282380245634656,constant in the training window,
V107,degenerate,,,,,,,,,,,,,,,FALSE,100392,100393,0,0.000747064038329366,constant in the training window,
V305,degenerate,,,,,,,,,,,,,,,FALSE,100392,100393,0.000109570483703881,0,AUC not estimable on the scored window,
client_m1_mean_prior,degenerate,,,,,,,,,,,,,,,FALSE,100392,100393,0.803181528408638,0.441694142021854,constant in the training window,
V150,inverted,0.5646,0.4673,-0.0973,0.5571,0.5722,0.461,0.4737,0.0987,0.3334,0.1367,0.0377,,1,2.54334631677811e-83,FALSE,100392,100393,0.6833,0.8936,"",3.24765760450127e-82
V151,inverted,0.565,0.4673,-0.0977,0.5575,0.5725,0.461,0.4737,-0.0244,0.2159,0.1383,0.0377,,1,3.16504202320565e-84,FALSE,100392,100393,0.6833,0.8936,"",4.92559664861379e-83
V152,inverted,0.5648,0.4673,-0.0975,0.5573,0.5723,0.461,0.4737,0.0378,0.1749,0.1308,0.0372,,1,1.19784409530315e-83,FALSE,100392,100393,0.6833,0.8936,"",1.65701766516936e-82
V159,inverted,0.5647,0.4673,-0.0974,0.5572,0.5722,0.461,0.4737,-0.183,-0.0827,0.1403,0.0377,,1,1.67420823200906e-83,FALSE,100392,100393,0.6833,0.8936,"",2.25339378254193e-82
V160,inverted,0.5649,0.4673,-0.0976,0.5574,0.5724,0.461,0.4737,-0.1106,-0.1068,0.1479,0.0377,,1,3.91086770118635e-84,FALSE,100392,100393,0.6833,0.8936,"",5.90185489451758e-83
V86,inverted,0.5328,0.4664,-0.0664,0.5239,0.5417,0.4603,0.4726,0.162,0.2548,0.0289,0.0426,-1,1,3.96534942415622e-33,FALSE,100392,100393,0.3405,0.0951,"",8.29724375306637e-33
V87,inverted,0.5318,0.4664,-0.0653,0.5229,0.5406,0.4603,0.4726,0.2251,0.2771,0.0215,0.0425,-1,1,2.12470691285911e-32,FALSE,100392,100393,0.3405,0.0951,"",4.40876684418265e-32
client_m5_mean_prior,inverted,0.5475,0.4606,-0.0869,0.5385,0.5564,0.4525,0.4687,0.143,0.0021,0.06,0.0297,-0.2,1,2.92463468407837e-45,FALSE,100392,100393,0.8126,0.6219,"",7.24610981428372e-45
client_d2n_std_prior,inverted,0.5407,0.4142,-0.1264,0.5332,0.5481,0.4071,0.4213,-0.0117,0.0501,0.069,0.1497,0.5798,0.9999,7.21677303835093e-128,FALSE,100392,100393,0.8992,0.6187,"",5.98992162183127e-126
V55,inverted,0.527,0.4442,-0.0828,0.5185,0.5355,0.4376,0.4509,0.0444,0.098,0.0145,0.1098,0.5,0.9998,6.78998912728004e-51,FALSE,100392,100393,0.3026,0.087,"",1.92125828715083e-50
V56,inverted,0.527,0.4442,-0.0828,0.5185,0.5355,0.4376,0.4509,0.1119,0.1202,0.0145,0.1098,0.5,0.9998,6.78998912728004e-51,FALSE,100392,100393,0.3026,0.087,"",1.92125828715083e-50
V65,inverted,0.527,0.4442,-0.0828,0.5185,0.5355,0.4375,0.4509,5e-04,2e-04,0.0151,0.1103,0.5,0.9998,6.61054588074614e-51,FALSE,100392,100393,0.3026,0.087,"",1.89198382104114e-50
V88,inverted,0.5313,0.4672,-0.0642,0.5225,0.5401,0.461,0.4733,0.0011,5e-04,0.0194,0.0413,0.5,0.9996,1.42023006659865e-31,FALSE,100392,100393,0.3405,0.0951,"",2.92262220316582e-31
V68,inverted,0.5273,0.4443,-0.083,0.5188,0.5358,0.4377,0.451,-0.0013,-6e-04,0.0167,0.1106,0.4,0.9995,3.29829904252529e-51,FALSE,100392,100393,0.3026,0.087,"",9.60557265016138e-51
V163,inverted,0.5777,0.4696,-0.1081,0.5698,0.5856,0.4632,0.476,0.1133,0.0107,0.1648,0.0557,-0.2088,0.9994,6.090835353222e-97,FALSE,100392,100393,0.6833,0.8937,"",1.89577250369035e-95
V334,inverted,0.5654,0.4619,-0.1034,0.5575,0.5732,0.4556,0.4683,0.0255,-0.0598,0.093,0.0649,-0.4917,0.9994,2.51346610088984e-89,FALSE,100392,100393,0.682,0.8929,"",5.21544215934642e-88
